,date,location,count,plate,sample,colour,image,coef,before event,after event,event,date_sample,label,medium,doy,week,d,year
54,2016-08-02,MRD,0.0,1,MRD1,other,,100,False,True,False,"('2016-08-02', 'MRD1')",Other,EasyGel,215,31,2016-08-02,2016
55,2016-08-09,MRD,2.0,1,MRD1,other,,100,False,True,False,"('2016-08-09', 'MRD1')",Other,EasyGel,222,32,2016-08-09,2016
56,2016-07-05,SVT,0.0,1,SVT1,other,,100,False,False,True,"('2016-07-05', 'SVT1')",Other,EasyGel,187,27,2016-07-05,2016
57,2016-07-12,SVT,29.0,1,SVT1,other,,100,False,False,True,"('2016-07-12', 'SVT1')",Other,EasyGel,194,28,2016-07-12,2016
58,2016-07-19,SVT,3.0,1,SVT1,other,,100,False,True,False,"('2016-07-19', 'SVT1')",Other,EasyGel,201,29,2016-07-19,2016
59,2016-06-21,SVT,0.0,1,SVT1,other,,100,True,False,False,"('2016-06-21', 'SVT1')",Other,EasyGel,173,25,2016-06-21,2016
60,2016-06-28,SVT,0.0,1,SVT1,other,,100,True,False,False,"('2016-06-28', 'SVT1')",Other,EasyGel,180,26,2016-06-28,2016
61,2016-07-26,SVT,150.0,1,SVT1,other,,100,False,True,False,"('2016-07-26', 'SVT1')",Other,EasyGel,208,30,2016-07-26,2016
62,2016-08-02,SVT,1.0,1,SVT1,other,,100,False,True,False,"('2016-08-02', 'SVT1')",Other,EasyGel,215,31,2016-08-02,2016
63,2016-08-09,SVT,1.0,1,SVT1,other,,100,False,True,False,"('2016-08-09', 'SVT1')",Other,EasyGel,222,32,2016-08-09,2016
64,2016-07-05,VNX,0.0,1,VNX1,other,,100,False,False,True,"('2016-07-05', 'VNX1')",Other,EasyGel,187,27,2016-07-05,2016
65,2016-07-12,VNX,4.0,1,VNX1,other,,100,False,False,True,"('2016-07-12', 'VNX1')",Other,EasyGel,194,28,2016-07-12,2016
66,2016-07-19,VNX,4.0,1,VNX1,other,,100,False,True,False,"('2016-07-19', 'VNX1')",Other,EasyGel,201,29,2016-07-19,2016
67,2016-06-21,VNX,0.0,1,VNX1,other,,100,True,False,False,"('2016-06-21', 'VNX1')",Other,EasyGel,173,25,2016-06-21,2016
