date,site,plate-number,category,count,week,is-jazz
2022-07-25,mrd,5,bioindicator,0,8,False
2022-07-25,mrd,6,bioindicator,0,8,False
2022-08-01,mrd,4,bioindicator,0,8,False
2022-08-01,svt,5,bioindicator,0,8,False
2022-08-01,svt,6,bioindicator,0,8,False
2022-08-01,svt,3,bioindicator,0,8,False
2022-08-01,svt,4,bioindicator,0,8,False
2022-08-01,svt,1,bioindicator,0,8,False
2022-08-01,svt,2,bioindicator,0,8,False
2022-08-01,vnx,1,bioindicator,0,9,False
2022-08-01,vnx,2,bioindicator,0,9,False
2022-08-01,vnx,3,bioindicator,0,9,False
2022-08-01,vnx,4,bioindicator,0,9,False
2022-08-01,vnx,5,bioindicator,0,9,False
2022-08-01,vnx,6,bioindicator,0,9,False
2022-08-01,mrd,5,bioindicator,0,9,False
2022-08-01,mrd,6,bioindicator,0,9,False
2022-08-01,mrd,3,bioindicator,0,9,False
2022-08-01,mrd,4,bioindicator,0,9,False
2022-08-01,mrd,1,bioindicator,0,9,False
2022-08-01,mrd,2,bioindicator,0,9,False
2022-09-12,vnx,1,bioindicator,0,9,False
2022-09-12,vnx,2,bioindicator,0,9,False
2022-09-12,vnx,3,bioindicator,0,9,False
2022-09-12,vnx,4,bioindicator,0,9,False
2022-09-12,vnx,5,bioindicator,1,9,False
2022-09-12,vnx,6,bioindicator,0,9,False
2022-09-12,svt,1,bioindicator,0,9,False
2022-09-12,svt,2,bioindicator,0,9,False
2022-09-12,svt,3,bioindicator,0,9,False
2022-09-12,svt,4,bioindicator,0,9,False
2022-09-12,svt,5,bioindicator,0,9,False
2022-09-12,svt,6,bioindicator,0,9,False
2022-09-12,mrd,1,bioindicator,0,9,False
2022-09-12,mrd,2,bioindicator,0,9,False
2022-09-12,mrd,3,bioindicator,0,9,False
2022-09-12,mrd,4,bioindicator,0,9,False
2022-09-12,mrd,5,bioindicator,0,9,False
2022-09-12,mrd,6,bioindicator,0,9,False
2022-07-04,pform05,1,coliform,1,1,True
2022-07-04,pform05,2,coliform,2,1,True
2022-07-04,pform05,3,coliform,0,1,True
2022-07-04,pform05,4,coliform,1,1,True
2022-07-04,pform05,5,coliform,0,1,True
2022-07-04,pform05,6,coliform,0,1,True
2022-07-11,pform05,1,coliform,0,1,True
2022-07-11,pform05,2,coliform,0,1,True
2022-07-11,pform05,3,coliform,0,1,True
2022-07-11,pform05,4,coliform,0,1,True
2022-07-11,pform05,5,coliform,0,1,True
2022-07-11,pform05,6,coliform,0,2,True
2022-07-18,pform05,1,coliform,0,2,False
2022-07-18,pform05,2,coliform,0,2,False
2022-07-18,pform05,4,coliform,0,2,False
2022-07-18,pform05,5,coliform,0,2,False
2022-07-18,pform05,6,coliform,0,2,False
2022-07-25,pform05,1,coliform,12,2,False
2022-07-25,pform05,2,coliform,2,2,False
2022-07-25,pform05,3,coliform,7,2,False
2022-07-25,pform05,4,coliform,15,2,False
2022-07-25,pform05,5,coliform,6,2,False
2022-07-25,pform05,6,coliform,7,2,False
2022-08-03,pform05,1,coliform,8,2,False
2022-08-03,pform05,2,coliform,9,2,False
2022-08-03,pform05,3,coliform,9,2,False
2022-08-03,pform05,4,coliform,14,2,False
2022-08-03,pform05,5,coliform,16,3,False
2022-08-03,pform05,6,coliform,11,3,False
2022-09-12,pform05,1,coliform,0,3,False
2022-09-12,pform05,2,coliform,0,3,False
2022-09-12,pform05,3,coliform,0,3,False
2022-09-12,pform05,4,coliform,0,3,False
2022-09-12,pform05,5,coliform,0,3,False
2022-09-12,pform05,6,coliform,0,3,False
2022-09-12,pform5,1,coliform,19,3,False
2022-09-12,pform5,2,coliform,7,3,False
2022-09-12,pform5,3,coliform,12,3,False
2022-09-12,pform5,4,coliform,36,3,False
2022-09-12,pform5,5,coliform,25,3,False
2022-09-12,pform5,6,coliform,26,3,False
2022-07-18,Clarens ,1,coliform,58,3,False
2022-07-18,Clarens ,2,coliform,84,3,False
2022-07-18,Clarens ,3,coliform,65,3,False
2022-08-01,Clarens ,1,coliform,20,3,False
2022-08-01,Clarens ,2,coliform,29,3,False
2022-08-01,Clarens ,3,coliform,23,3,False
2022-08-01,Clarens ,4,coliform,15,3,False
2022-08-01,Clarens ,5,coliform,9,3,False
2022-06-13,svt,2,coliform,5,3,False
2022-06-13,svt,3,coliform,4,3,False
2022-06-13,svt,4,coliform,5,3,False
2022-06-13,svt,5,coliform,4,3,False
2022-06-13,svt,6,coliform,8,3,False
2022-06-13,vnx,1,coliform,12,3,False
2022-06-13,vnx,2,coliform,13,3,False
2022-06-13,vnx,3,coliform,10,3,False
2022-06-13,vnx,4,coliform,5,3,False
2022-06-13,vnx,5,coliform,6,3,False
2022-06-13,vnx,6,coliform,12,3,False
2022-06-20,vnx,1,coliform,35,3,False
2022-06-20,vnx,2,coliform,51,4,False
