date,location,sample,date_sample,event,before event,after event,medium,label,count,coef,week,doy,year,color,image
2016-07-19,MRD,MRD2,"('2016-07-19', 'MRD2')",False,False,True,EasyGel,Coliform,7.0,25,29,201,2016,med_blue,none
2016-06-21,MRD,MRD2,"('2016-06-21', 'MRD2')",False,True,False,EasyGel,Coliform,2.0,100,25,173,2016,med_blue,none
2016-06-28,MRD,MRD2,"('2016-06-28', 'MRD2')",False,True,False,EasyGel,Coliform,0.0,25,26,180,2016,med_blue,none
2016-07-26,MRD,MRD2,"('2016-07-26', 'MRD2')",False,False,True,EasyGel,Coliform,0.0,25,30,208,2016,med_blue,none
2016-08-02,MRD,MRD2,"('2016-08-02', 'MRD2')",False,False,True,EasyGel,Coliform,1.0,25,31,215,2016,med_blue,none
2016-08-09,MRD,MRD2,"('2016-08-09', 'MRD2')",False,False,True,EasyGel,Coliform,0.0,25,32,222,2016,med_blue,none
2016-07-05,SVT,SVT2,"('2016-07-05', 'SVT2')",True,False,False,EasyGel,Coliform,0.0,250,27,187,2016,med_blue,none
2016-07-12,SVT,SVT2,"('2016-07-12', 'SVT2')",True,False,False,EasyGel,Coliform,26.0,25,28,194,2016,med_blue,none
2016-07-19,SVT,SVT2,"('2016-07-19', 'SVT2')",False,False,True,EasyGel,Coliform,0.0,25,29,201,2016,med_blue,none
2016-06-21,SVT,SVT2,"('2016-06-21', 'SVT2')",False,True,False,EasyGel,Coliform,0.0,100,25,173,2016,med_blue,none
2016-06-28,SVT,SVT2,"('2016-06-28', 'SVT2')",False,True,False,EasyGel,Coliform,1.0,25,26,180,2016,med_blue,none
2016-07-26,SVT,SVT2,"('2016-07-26', 'SVT2')",False,False,True,EasyGel,Coliform,0.0,25,30,208,2016,med_blue,none
2016-08-02,SVT,SVT2,"('2016-08-02', 'SVT2')",False,False,True,EasyGel,Coliform,0.0,25,31,215,2016,med_blue,none
2016-08-09,SVT,SVT2,"('2016-08-09', 'SVT2')",False,False,True,EasyGel,Coliform,1.0,25,32,222,2016,med_blue,none
2016-07-05,VNX,VNX2,"('2016-07-05', 'VNX2')",True,False,False,EasyGel,Coliform,0.0,250,27,187,2016,med_blue,none
2016-07-12,VNX,VNX2,"('2016-07-12', 'VNX2')",True,False,False,EasyGel,Coliform,0.0,25,28,194,2016,med_blue,none
2016-07-19,VNX,VNX2,"('2016-07-19', 'VNX2')",False,False,True,EasyGel,Coliform,7.0,25,29,201,2016,med_blue,none
2016-06-21,VNX,VNX2,"('2016-06-21', 'VNX2')",False,True,False,EasyGel,Coliform,0.0,100,25,173,2016,med_blue,none
2016-06-28,VNX,VNX2,"('2016-06-28', 'VNX2')",False,True,False,EasyGel,Coliform,3.0,25,26,180,2016,med_blue,none
2016-07-26,VNX,VNX2,"('2016-07-26', 'VNX2')",False,False,True,EasyGel,Coliform,2.0,25,30,208,2016,med_blue,none
2016-08-09,VNX,VNX2,"('2016-08-09', 'VNX2')",False,False,True,EasyGel,Coliform,19.0,25,32,222,2016,med_blue,none
2016-08-02,VNX,VNX2,"('2016-08-02', 'VNX2')",False,False,True,EasyGel,Coliform,0.0,25,31,215,2016,med_blue,none
2016-07-05,MRD,MRD2,"('2016-07-05', 'MRD2')",True,False,False,EasyGel,Other,0.0,250,27,187,2016,other,none
2016-07-12,MRD,MRD2,"('2016-07-12', 'MRD2')",True,False,False,EasyGel,Other,26.0,25,28,194,2016,other,none
2016-07-19,MRD,MRD2,"('2016-07-19', 'MRD2')",False,False,True,EasyGel,Other,2.0,25,29,201,2016,other,none
2016-06-21,MRD,MRD2,"('2016-06-21', 'MRD2')",False,True,False,EasyGel,Other,0.0,100,25,173,2016,other,none
2016-06-28,MRD,MRD2,"('2016-06-28', 'MRD2')",False,True,False,EasyGel,Other,0.0,25,26,180,2016,other,none
2016-07-26,MRD,MRD2,"('2016-07-26', 'MRD2')",False,False,True,EasyGel,Other,3.0,25,30,208,2016,other,none
2016-08-02,MRD,MRD2,"('2016-08-02', 'MRD2')",False,False,True,EasyGel,Other,0.0,25,31,215,2016,other,none
2016-08-09,MRD,MRD2,"('2016-08-09', 'MRD2')",False,False,True,EasyGel,Other,0.0,25,32,222,2016,other,none
2016-07-05,SVT,SVT2,"('2016-07-05', 'SVT2')",True,False,False,EasyGel,Other,0.0,250,27,187,2016,other,none
